,userId,movieId,rating,timestamp,score
27,0,1,4.0,835355532,1
29,0,2,5.0,835355395,1
49,0,4,4.0,835355395,1
69,0,6,3.0,835355511,1
72,0,7,4.0,835355643,1
79,0,8,4.0,835355731,1
88,0,9,3.0,835355441,1
91,0,10,5.0,835355395,1
92,0,11,3.0,835355511,1
97,1,1,4.0,1298922049,1
100,1,4,4.5,1298862418,1
101,1,5,5.0,1298862121,1
105,1,8,3.0,1298862528,1
106,1,9,3.0,1298922100,1
107,1,10,3.0,1298923247,1
108,1,11,3.0,1298921840,1
130,1,19,5.0,1298862874,1
154,2,3,5.0,949779042,1
156,2,4,5.0,949895708,1
171,2,7,5.0,949810582,1
173,2,9,5.0,949949486,1
180,2,13,5.0,949779022,1
221,2,15,5.0,949919591,1
285,2,18,5.0,949918994,1
497,3,0,3.0,851867289,1
502,3,1,5.0,851868188,1
508,3,3,5.0,851869062,1
511,3,5,5.0,851868187,1
522,3,7,4.0,851869161,1
528,3,9,4.0,851868044,1
531,3,10,3.0,851868863,1
542,3,12,3.0,851866703,1
587,4,1,4.0,1154473268,1
588,4,3,3.5,1154464829,1
590,4,4,4.0,1154465380,1
591,4,5,5.0,1154464714,1
593,4,6,4.5,1154400475,1
596,4,8,5.0,1154400170,1
599,4,11,4.5,1154464833,1
602,4,13,5.0,1154400181,1
611,4,15,3.0,1154465230,1
617,4,16,3.0,1154400324,1
648,4,19,4.0,1154464901,1
2707,5,3,3.5,1127474688,1
2710,5,4,5.0,1127469297,1
2712,5,5,5.0,1127469420,1
2717,5,7,0.5,1127469407,1
2720,5,8,4.0,1127469434,1
2724,5,11,4.5,1127469396,1
2730,5,13,5.0,1127469000,1
2736,5,14,4.5,1127471471,1
2781,5,15,4.5,1127469234,1
2862,5,19,5.0,1127469609,1
3627,6,0,3.0,853846669,1
3639,6,3,3.0,853846669,1
3643,6,4,3.0,853846400,1
3654,6,6,3.0,853846443,1
3656,6,7,3.0,853846511,1
3659,6,8,5.0,853846400,1
3667,6,10,3.0,853846639,1
3668,6,11,4.0,853846400,1
3676,6,12,3.0,853157476,1
3678,6,13,4.0,853850728,1
3682,6,14,5.0,853848342,1
3749,6,15,3.0,853851052,1
3801,7,3,4.0,1131663354,1
3803,7,4,5.0,1131664320,1
3808,7,6,4.5,1131662090,1
3809,7,7,4.5,1131662100,1
3816,7,9,2.0,1131662084,1
3818,7,10,4.5,1131663223,1
3819,7,11,4.5,1131723291,1
3823,7,13,4.0,1131662354,1
3860,7,17,2.5,1131663443,1
3876,7,18,3.5,1131662232,1
3907,7,19,4.0,1131663892,1
4789,8,3,3.0,1360087975,1
4790,8,4,3.5,1360087955,1
4792,8,5,4.0,1360087964,1
4798,8,6,3.5,1360088007,1
4799,8,7,2.5,1360087958,1
4803,8,11,3.5,1354752756,1
4809,8,12,3.5,1360088024,1
4810,8,13,4.0,1360088089,1
4832,8,19,4.0,1354752886,1
6132,9,1,5.0,834828155,1
6133,9,2,5.0,834828059,1
6147,9,4,2.0,834828059,1
6168,9,6,5.0,834828155,1
6169,9,7,5.0,834828286,1
6171,9,9,3.0,834828085,1
6174,9,10,4.0,834828059,1
6315,10,0,4.0,973748254,1
6321,10,1,4.0,973747427,1
6322,10,2,4.0,973746527,1
6325,10,3,4.0,973747559,1
6328,10,4,5.0,973746450,1
6335,10,8,4.0,973746450,1
6342,10,11,4.0,973746494,1
6350,10,13,4.0,973746463,1
6351,10,14,5.0,973746569,1
6524,11,0,3.0,847056854,1
6554,11,3,5.0,847057564,1
6563,11,4,4.0,847056510,1
6570,11,5,4.0,847056636,1
6590,11,6,3.0,847056547,1
6593,11,7,3.0,847056636,1
6601,11,8,5.0,847056901,1
6611,11,9,3.0,847056547,1
6613,11,10,3.0,847056510,1
6614,11,11,4.0,847056670,1
6659,12,1,4.0,1390332781,1
6661,12,4,5.0,1389730389,1
6663,12,5,4.5,1389722765,1
6668,12,8,4.5,1392361524,1
6669,12,9,4.0,1389806512,1
6671,12,11,4.5,1392361495,1
6674,12,13,4.5,1389722583,1
6684,12,17,4.0,1416075214,1
6699,12,19,4.0,1389722656,1
6771,13,0,3.0,833532967,1
